,rank,title,fullTitle,year,crew,imDbRating,imDbRating
86,87,High and Low,High and Low (1963),1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,8.3
87,88,Capernaum,Capernaum (2018),2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3,8.3
88,89,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi (1983),1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,8.3
89,90,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind (2004),2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,8.3
90,91,2001: A Space Odyssey,2001: A Space Odyssey (1968),1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,8.3
91,92,Reservoir Dogs,Reservoir Dogs (1992),1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,8.3
92,93,Come and See,Come and See (1985),1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.3,8.3
93,94,The Hunt,The Hunt (2012),2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,8.3
94,95,Citizen Kane,Citizen Kane (1941),1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,8.3
95,96,M,M (1931),1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,8.3
96,97,Lawrence of Arabia,Lawrence of Arabia (1962),1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,8.3
97,98,North by Northwest,North by Northwest (1959),1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.2,8.2
98,99,Vertigo,Vertigo (1958),1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.2,8.2
99,100,Ikiru,Ikiru (1952),1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,8.2
100,101,Amélie,Amélie (2001),2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2,8.2
101,102,The Apartment,The Apartment (1960),1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,8.2
102,103,A Clockwork Orange,A Clockwork Orange (1971),1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2,8.2
103,104,Double Indemnity,Double Indemnity (1944),1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,8.2
104,105,Full Metal Jacket,Full Metal Jacket (1987),1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2,8.2
105,106,Top Gun: Maverick,Top Gun: Maverick (2022),2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.2,8.2
106,107,Scarface,Scarface (1983),1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,8.2
107,108,Hamilton,Hamilton (2020),2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2,8.2
108,109,Incendies,Incendies (2010),2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,8.2
109,110,To Kill a Mockingbird,To Kill a Mockingbird (1962),1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2,8.2
110,111,Heat,Heat (1995),1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,8.2
111,112,The Sting,The Sting (1973),1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2,8.2
112,113,Up,Up (2009),2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,8.2
113,114,A Separation,A Separation (2011),2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,8.2
114,115,Metropolis,Metropolis (1927),1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,8.2
115,116,Taxi Driver,Taxi Driver (1976),1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2,8.2
116,117,L.A. Confidential,L.A. Confidential (1997),1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,8.2
117,118,Die Hard,Die Hard (1988),1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,8.2
118,119,Snatch,Snatch (2000),2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2,8.2
119,120,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade (1989),1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,8.2
120,121,Bicycle Thieves,Bicycle Thieves (1948),1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2,8.2
121,122,Like Stars on Earth,Like Stars on Earth (2007),2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.2,8.2
122,123,1917,1917 (2019),2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2,8.2
123,124,Downfall,Downfall (2004),2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,8.2
124,125,Dangal,Dangal (2016),2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2,8.2
125,126,For a Few Dollars More,For a Few Dollars More (1965),1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,8.2
126,127,Batman Begins,Batman Begins (2005),2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,8.2
127,128,The Kid,The Kid (1921),1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,8.2
128,129,Some Like It Hot,Some Like It Hot (1959),1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,8.2
129,130,The Father,The Father (2020),2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2,8.2
